area_id,area_level,name_tr,parent_id,valid_from,valid_to,source_id,source_area_id
TR-19-002,district,Bayat,TR-19,,,hdx_cod_ab_tur,TR-D-19-002
TR-19-003,district,Boğazkale,TR-19,,,hdx_cod_ab_tur,TR-D-19-003
TR-19-004,district,Çorum,TR-19,,,hdx_cod_ab_tur,TR-D-19-004
TR-19-005,district,Dodurga,TR-19,,,hdx_cod_ab_tur,TR-D-19-005
TR-19-006,district,İskilip,TR-19,,,hdx_cod_ab_tur,TR-D-19-006
TR-19-007,district,Kargı,TR-19,,,hdx_cod_ab_tur,TR-D-19-007
TR-19-008,district,Lâçin,TR-19,,,hdx_cod_ab_tur,TR-D-19-008
TR-19-009,district,Mecitözü,TR-19,,,hdx_cod_ab_tur,TR-D-19-009
TR-19-010,district,Oğuzlar,TR-19,,,hdx_cod_ab_tur,TR-D-19-010
TR-19-011,district,Ortaköy,TR-19,,,hdx_cod_ab_tur,TR-D-19-011
TR-19-012,district,Osmancık,TR-19,,,hdx_cod_ab_tur,TR-D-19-012
TR-19-013,district,Sungurlu,TR-19,,,hdx_cod_ab_tur,TR-D-19-013
TR-19-014,district,Uğurludağ,TR-19,,,hdx_cod_ab_tur,TR-D-19-014
TR-20-001,district,Acıpayam,TR-20,,,hdx_cod_ab_tur,TR-D-20-001
TR-20-002,district,Babadağ,TR-20,,,hdx_cod_ab_tur,TR-D-20-002
TR-20-003,district,Baklan,TR-20,,,hdx_cod_ab_tur,TR-D-20-003
TR-20-004,district,Bekilli,TR-20,,,hdx_cod_ab_tur,TR-D-20-004
TR-20-005,district,Beyağaç,TR-20,,,hdx_cod_ab_tur,TR-D-20-005
TR-20-006,district,Bozkurt,TR-20,,,hdx_cod_ab_tur,TR-D-20-006
TR-20-007,district,Buldan,TR-20,,,hdx_cod_ab_tur,TR-D-20-007
TR-20-008,district,Çal,TR-20,,,hdx_cod_ab_tur,TR-D-20-008
TR-20-009,district,Çameli,TR-20,,,hdx_cod_ab_tur,TR-D-20-009
TR-20-010,district,Çardak,TR-20,,,hdx_cod_ab_tur,TR-D-20-010
TR-20-011,district,Çivril,TR-20,,,hdx_cod_ab_tur,TR-D-20-011
TR-20-012,district,Güney,TR-20,,,hdx_cod_ab_tur,TR-D-20-012
TR-20-013,district,Honaz,TR-20,,,hdx_cod_ab_tur,TR-D-20-013
TR-20-014,district,Kale,TR-20,,,hdx_cod_ab_tur,TR-D-20-014
TR-20-015,district,Merkezefendi,TR-20,,,hdx_cod_ab_tur,TR-D-20-015
TR-20-016,district,Pamukkale,TR-20,,,hdx_cod_ab_tur,TR-D-20-016
TR-20-017,district,Sarayköy,TR-20,,,hdx_cod_ab_tur,TR-D-20-017
TR-20-018,district,Serinhisar,TR-20,,,hdx_cod_ab_tur,TR-D-20-018
TR-20-019,district,Tavas,TR-20,,,hdx_cod_ab_tur,TR-D-20-019
TR-21-001,district,Bağlar,TR-21,,,hdx_cod_ab_tur,TR-D-21-001
TR-21-002,district,Bismil,TR-21,,,hdx_cod_ab_tur,TR-D-21-002
TR-21-003,district,Çermik,TR-21,,,hdx_cod_ab_tur,TR-D-21-003
TR-21-004,district,Çınar,TR-21,,,hdx_cod_ab_tur,TR-D-21-004
TR-21-005,district,Çüngüş,TR-21,,,hdx_cod_ab_tur,TR-D-21-005
TR-21-006,district,Dicle,TR-21,,,hdx_cod_ab_tur,TR-D-21-006
TR-21-007,district,Eğil,TR-21,,,hdx_cod_ab_tur,TR-D-21-007
TR-21-008,district,Ergani,TR-21,,,hdx_cod_ab_tur,TR-D-21-008
TR-21-009,district,Hani,TR-21,,,hdx_cod_ab_tur,TR-D-21-009
TR-21-010,district,Hazro,TR-21,,,hdx_cod_ab_tur,TR-D-21-010
TR-21-011,district,Kayapınar,TR-21,,,hdx_cod_ab_tur,TR-D-21-011
TR-21-012,district,Kocaköy,TR-21,,,hdx_cod_ab_tur,TR-D-21-012
TR-21-013,district,Kulp,TR-21,,,hdx_cod_ab_tur,TR-D-21-013
TR-21-014,district,Lice,TR-21,,,hdx_cod_ab_tur,TR-D-21-014
TR-21-015,district,Silvan,TR-21,,,hdx_cod_ab_tur,TR-D-21-015
TR-21-016,district,Sur,TR-21,,,hdx_cod_ab_tur,TR-D-21-016
TR-21-017,district,Yenişehir,TR-21,,,hdx_cod_ab_tur,TR-D-21-017
TR-22-001,district,Edirne,TR-22,,,hdx_cod_ab_tur,TR-D-22-001
